,artwork,history,receivers,surrenders,Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,ArtistAlphaSort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
10,https://w3id.org/zericatalog/artwork/34631/item,3.0,The Metropolitan Museum of Art; Collezione Stillman; Asta Galerie Georges Petit,Collezione Stillman; Asta Galerie Georges Petit; Collezione B. Crespi,22.16.12,0,1,1,437698,,European Paintings,1922.0,Painting,Christ Blessing,,,,,,16244,Artist, ,Andrea Solario,"Italian, Milan ca. 1465â€“1524 Milan", ,"Solario, Andrea",Italian,1465      ,1524      ,,http://vocab.getty.edu/page/ulan/500412762,https://www.wikidata.org/wiki/Q495110,,1495,1524,Oil on wood,80 1/4 x 51 1/2 in. (203.8 x 130.8 cm),"From the Collection of James Stillman, Gift of Dr. Ernest G. Stillman, 1922",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437698,https://www.wikidata.org/wiki/Q19911774,,"Metropolitan Museum of Art, New York, NY",Christ,http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q642420
11,https://w3id.org/zericatalog/artwork/45030/item,1.0,The Metropolitan Museum of Art,Collezione B. Altman,14.40.640,0,1,1,437825,,European Paintings,1914.0,Painting,Portrait of a Man,,,,,,16255,Artist, ,Titian (Tiziano Vecellio),"Italian, Pieve di Cadore ca. 1485/90?â€“1576 Venice", ,Titian (Tiziano Vecellio),Italian,1485      ,1576      ,,http://vocab.getty.edu/page/ulan/500031075,https://www.wikidata.org/wiki/Q47551,ca. 1515,1510,1520,Oil on canvas,19 3/4 x 17 3/4 in. (50.2 x 45.1 cm),"Bequest of Benjamin Altman, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437825,https://www.wikidata.org/wiki/Q3937410,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
12,https://w3id.org/zericatalog/artwork/35890/item,1.0,The Metropolitan Museum of Art,Collezione Linsky,1982.60.8,0,0,1,435615,537.0,European Paintings,1982.0,Painting,Portrait of a Man,,,,,,16165,Artist, ,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),"Italian, Florence 1473â€“1517 Florence", ,"Bartolomeo, Fra (Bartolomeo di Paolo del Fattorino)",Italian,1473      ,1517      ,,http://vocab.getty.edu/page/ulan/500115575,https://www.wikidata.org/wiki/Q7780,shortly after 1497,1497,1517,Oil on wood,Overall 15 5/8 x 12 1/8 in. (39.7 x 30.8 cm); painted surface 15 1/2 x 11 3/4 in. (39.4 x 29.8 cm),"The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435615,https://www.wikidata.org/wiki/Q19911987,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
13,https://w3id.org/zericatalog/artwork/35624/item,1.0,The Metropolitan Museum of Art,Dowdeswell & Dowdeswell,06.171,0,0,1,435614,606.0,European Paintings,1906.0,Painting,Madonna and Child with the Young Saint John the Baptist,,,,,,16165,Artist, ,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),"Italian, Florence 1473â€“1517 Florence", ,"Bartolomeo, Fra (Bartolomeo di Paolo del Fattorino)",Italian,1473      ,1517      ,,http://vocab.getty.edu/page/ulan/500115575,https://www.wikidata.org/wiki/Q7780,ca. 1497,1492,1502,Oil and gold on wood,23 x 17 1/4 in. (58.4 x 43.8 cm),"Rogers Fund, 1906",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435614,https://www.wikidata.org/wiki/Q3842520,,"Metropolitan Museum of Art, New York, NY",Madonna and Child|Saint John the Baptist,http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/ia/901001056,https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q40662
14,https://w3id.org/zericatalog/artwork/36230/item,2.0,The Metropolitan Museum of Art; Collezione colonnello Sacchetti,Collezione colonnello Sacchetti; Oratorio di S. Maria Maddalena all'Isola,30.83,0,0,1,435824,962.0,European Paintings,1930.0,Painting,Madonna and Child Enthroned with Saints Mary Magdalen and John the Baptist,,,,,,16330,Artist, ,Giuliano di Piero di Simone Bugiardini,"Italian, Florence 1475â€“1554 Florence", ,"Bugiardini, Giuliano di Piero di Simone",Italian,1475      ,1554      ,,http://vocab.getty.edu/page/ulan/500011070,https://www.wikidata.org/wiki/Q2578459,ca. 1523,1518,1528,Oil on wood,76 1/4 x 65 1/4 in. (193.7 x 165.7 cm),"Fletcher Fund, 1930",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435824,https://www.wikidata.org/wiki/Q19905397,,"Metropolitan Museum of Art, New York, NY",Madonna and Child|Mary Magdalene|Saint John the Baptist|Angels,http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/ia/901000161|http://vocab.getty.edu/page/ia/901001056|http://vocab.getty.edu/page/aat/300379004,https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q63070|https://www.wikidata.org/wiki/Q40662|https://www.wikidata.org/wiki/Q235113
15,https://w3id.org/zericatalog/artwork/39119/item,6.0,The Metropolitan Museum of Art; Collezione G. Donaldson,"Asta Sotheby's; Ashburnham Place, collezione Ashburnham",1970.134.2,0,0,1,436568,,European Paintings,1970.0,Painting,Saint John the Baptist Bearing Witness,,,,,,10773,Artist,Workshop of,Francesco Granacci,"Italian, Villamagna 1469â€“1543 Florence", ,"Granacci, Francesco",Italian,1469      ,1543      ,,http://vocab.getty.edu/page/ulan/500022051,https://www.wikidata.org/wiki/Q717097,ca. 1506â€“7,1506,1507,Oil and gold on wood,29 3/4 x 82 1/2 in. (75.6 x 209.6 cm),"Purchase, Gwynne Andrews, Harris Brisbane Dick, Dodge, Fletcher, and Rogers Funds, funds from various donors, Ella Morris de Peyster Gift, Mrs. Donald Oenslager Gift, and Gifts in memory of Robert Lehman, 1970",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436568,https://www.wikidata.org/wiki/Q19911622,,"Metropolitan Museum of Art, New York, NY",Men|Women|Saint John the Baptist|Christ,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901001056|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q40662
16,https://w3id.org/zericatalog/artwork/39450/item,1.0,The Metropolitan Museum of Art,Mercato antiquario,2006.409,0,1,1,438445,,European Paintings,2006.0,"Painting, triptych",The Crucifixion,,,,,,10773,Artist, ,Francesco Granacci (Francesco di Andrea di Marco),"Italian, Villamagna 1469â€“1543 Florence", ,"Granacci, Francesco (Francesco di Andrea di Marco)",Italian,1469      ,1543      ,,http://vocab.getty.edu/page/ulan/500022051,https://www.wikidata.org/wiki/Q717097,ca. 1510,1505,1515,Tempera and gold on wood,Central panel 19 x 11 1/2 in. (48.3 x 29.2 cm); each wing 19 x 6 in. (48.3 x 15.2 cm),"Gift of Nancy, Carolina, and Isabelle Richardson, and Purchase, Friends of European Paintings Gifts, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438445,https://www.wikidata.org/wiki/Q19912177,,"Metropolitan Museum of Art, New York, NY",Crucifixion|Christ|Soldiers|Men|Virgin Mary|Resurrection,http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/aat/300404323,https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q51624
17,https://w3id.org/zericatalog/artwork/18917/item,4.0,The Metropolitan Museum of Art; Collezione Mr. e Mrs. C.B. Wrightsman; Asta Sotheby's; Collezione Mrs. C. Segal,Collezione Mr. e Mrs. C.B. Wrightsman; Asta Sotheby's; Collezione Mrs. C. Segal; Morandotti,1986.339.1,0,0,1,437275,,European Paintings,1986.0,Painting,Portrait of an Olivetan Monk,,,,,,16223,Artist,Attributed to,Baldassare Tommaso Peruzzi,"Italian, Ancaiano 1481â€“1536 Rome", ,"Peruzzi, Baldassare Tommaso",Italian,1481      ,1536      ,,http://vocab.getty.edu/page/ulan/500030776,https://www.wikidata.org/wiki/Q177213,,1501,1536,Oil on canvas,38 1/4 x 28 5/8 in. (97.2 x 72.7 cm),"Gift of Mrs. Charles Wrightsman, 1986",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437275,https://www.wikidata.org/wiki/Q19905452,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Monks|Writing,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025765|http://vocab.getty.edu/page/aat/300054698,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q37260|https://www.wikidata.org/wiki/Q733786
18,https://w3id.org/zericatalog/artwork/43587/item,1.0,The Metropolitan Museum of Art,"Duveen Brothers, Inc.",36.29,0,1,1,437827,608.0,European Paintings,1936.0,Painting,Venus and the Lute Player,,,,,,16255,Artist, ,Titian,"Italian, Pieve di Cadore ca. 1485/90?â€“1576 Venice",and Workshop,Titian,Italian,1485      ,1576      ,,http://vocab.getty.edu/page/ulan/500031075,https://www.wikidata.org/wiki/Q47551,ca. 1565â€“70,1565,1570,Oil on canvas,65 x 82 1/2 in. (165.1 x 209.6 cm),"Munsey Fund, 1936",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437827,https://www.wikidata.org/wiki/Q19911412,,"Metropolitan Museum of Art, New York, NY",Lutes|Venus|Musicians|Female Nudes|Cupid,http://vocab.getty.edu/page/aat/300042101|http://vocab.getty.edu/page/ia/901001064|http://vocab.getty.edu/page/aat/300025666|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300380105,https://www.wikidata.org/wiki/Q180733|https://www.wikidata.org/wiki/Q47652|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5011|https://www.wikidata.org/wiki/Q639669
19,https://w3id.org/zericatalog/artwork/44170/item,6.0,The Metropolitan Museum of Art; F. Mont; Galleria Fleischmann; Kleinberger Galleries; Collezione H.G. Sperling; Asta Christie's,"F. Mont; Galleria Fleischmann; Kleinberger Galleries; Collezione H.G. Sperling; Asta Christie's; Chatsworth House, collezione duca del Devonshire",1973.116,0,1,1,437638,608.0,European Paintings,1973.0,Painting,The Marriage of Cupid and Psyche,,,,,,16239,Artist, ,Andrea Schiavone (Andrea Meldola),"Italian, Zadar (Zara) ca. 1510?â€“1563 Venice", ,"Schiavone, Andrea (Andrea Meldola)",Italian,1510      ,1563      ,,http://vocab.getty.edu/page/ulan/500000550,https://www.wikidata.org/wiki/Q495060,ca. 1540,1535,1545,"Oil on wood, transferred to Masonite","Overall, with corners made up, 51 1/2 x 61 7/8 in. (130.8 x 157.2 cm); painted surface 50 1/2 x 61 1/2 in. (128.3 x 156.2 cm)","Purchase, Gift of Mary V. T. Eberstadt, by exchange, 1972",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437638,https://www.wikidata.org/wiki/Q19905139,,"Metropolitan Museum of Art, New York, NY",Men|Women|Cupid|Psyche|Male Nudes|Female Nudes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300380105|http://vocab.getty.edu/page/ia/901002042|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q5011|https://www.wikidata.org/wiki/Q843382
20,https://w3id.org/zericatalog/artwork/39542/item,1.0,The Metropolitan Museum of Art,Asta Christie's,2000.420,0,0,1,438432,,European Paintings,2000.0,Painting,Madonna and Child,,,,,,10773,Artist, ,Francesco Granacci (Francesco di Andrea di Marco),"Italian, Villamagna 1469â€“1543 Florence", ,"Granacci, Francesco (Francesco di Andrea di Marco)",Italian,1469      ,1543      ,,http://vocab.getty.edu/page/ulan/500022051,https://www.wikidata.org/wiki/Q717097,ca. 1520,1515,1525,Oil on wood,34 1/8 x 25  3/8 in. (86.7 x 64.5 cm),"Gift of Mario and Dianne Modestini, in memory of Theodore Rousseau, 2000",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438432,https://www.wikidata.org/wiki/Q19905389,,"Metropolitan Museum of Art, New York, NY",Madonna and Child,http://vocab.getty.edu/page/ia/901000052,https://www.wikidata.org/wiki/Q9309699
